Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
11/23/13 6:00,17.1,756,761.2,,96,Wind blowing from the north-northeast,2,100%, ,,,16.4,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,16.5,1,24,Surface of ground wet (standing water in small or large pools on surface).,9,,
11/23/13 9:00,17.1,756.6,761.8,0.6,93,Wind blowing from the north-east,3,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3,15.9,,,,,,
11/23/13 12:00,18.5,757,762.2,0.4,90,Wind blowing from the north-east,3,100%,Clouds generally forming or developing. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,16.8,0.2,6,,,,
11/23/13 15:00,19.6,756.9,762,-0.1,86,Wind blowing from the south-southwest,1,70 - 80%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,17.2,,,,,,
11/23/13 18:00,18.3,756.8,762,-0.1,93,Wind blowing from the south-west,2,"90  or more, but not 100%", ,,,,20.4,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6,17.1,0.2,12,,,,
11/24/13 6:00,18.1,755.4,760.6,,95,Wind blowing from the south-southwest,1,100%, ,,,17.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.2,0.2,24,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/24/13 9:00,17.8,756,761.2,0.6,97,"Calm, no wind",0,100%,Rain (not freezing) not falling as shower(s). ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,17.3,,,,,,
11/24/13 12:00,19.4,755.6,760.7,-0.4,96,Wind blowing from the west-northwest,2,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",200-300,,,8,18.7,2,6,,,,
11/24/13 15:00,18.8,754.4,759.5,-1.2,93,Wind blowing from the north-northeast,2,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,8,17.6,,,,,,
11/24/13 18:00,18.7,754.4,759.5,0,93,Wind blowing from the west-southwest,1,50%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,20,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.5,2,12,,,,
11/25/13 6:00,16.8,753.3,758.5,,92,Wind blowing from the north-northeast,5,"90  or more, but not 100%", ,,,16.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6,15.4,3,24,Surface of ground moist.,15,,
11/25/13 9:00,16.3,754.2,759.4,0.9,81,Wind blowing from the north-northeast,4,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13,,,,,,
11/25/13 12:00,17,754.1,759.3,-0.1,78,Wind blowing from the north-northwest,3,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13.2,,,,,,
11/25/13 15:00,18.1,753.4,758.5,-0.7,78,Wind blowing from the north-northwest,3,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.1,,,,,,
11/25/13 18:00,16.5,753.4,758.6,0,82,Wind blowing from the west-southwest,1,40%, ,,,,18.3,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.3,,,,,,
11/26/13 6:00,14,755.1,760.3,,90,Wind blowing from the east-northeast,2,40%, ,,,13.8,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,12.3,,,Surface of ground moist.,10,,
11/26/13 9:00,15.5,756.2,761.4,1.1,81,Wind blowing from the east,2,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12.2,,,,,,
11/26/13 12:00,18,757,762.2,0.8,83,Wind blowing from the west,2,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,15,,,,,,
11/26/13 15:00,18.8,756.3,761.5,-0.7,78,Wind blowing from the north-northeast,3,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,14.8,,,,,,
11/26/13 18:00,17,756.5,761.7,0.2,79,Wind blowing from the north-east,2,50%, ,,,,18.6,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.4,,,,,,
11/27/13 6:00,17.6,756.4,761.6,,32,Wind blowing from the south-east,6,no clouds, ,,,15.9,,,,,,,6,0.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/27/13 9:00,17.8,756.7,761.9,0.3,29,Wind blowing from the south-east,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,-0.6,,,,,,
11/27/13 12:00,21,757.3,762.4,0.6,23,Wind blowing from the south-east,6,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,-0.9,,,,,,
11/27/13 15:00,20.8,756.1,761.2,-1.2,51,Wind blowing from the north-northwest,5,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,10.3,,,,,,
11/27/13 18:00,18.3,756.2,761.4,0.1,55,Wind blowing from the north-east,1,60%, ,,,,23.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,9.1,,,,,,
11/28/13 6:00,20.3,756.1,761.2,,26,Wind blowing from the south-east,6,no clouds, ,,,18.1,,,,,,,7,0.1,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",15,,
11/28/13 9:00,21.5,756.8,761.9,0.7,29,Wind blowing from the south-east,7,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,2.7,,,,,,
11/28/13 12:00,23.8,756.7,761.8,-0.1,27,Wind blowing from the south-east,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,3.5,,,,,,
11/28/13 15:00,25,755.8,760.8,-0.9,25,Wind blowing from the south-southeast,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,3.5,,,,,,
11/28/13 18:00,24.6,756,761,0.2,31,Wind blowing from the south-east,5,40%, ,,,,26,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,6.2,,,,,,
