Time,P0,P,U,DD,Ff,VV,Td,T,Few clouds,Scattered clouds,Broken clouds,Overcast,cumulonimbus clouds,cumulus congestus of great vertical extent
2013-11-23 00:00:00,753.9,760.5,82,0,0,11,285.15,288.15,0,480,0,0,0,0
2013-11-23 01:00:00,753.9,760.5,88,0,0,11,286.15,288.15,0,480,0,0,0,0
2013-11-23 02:00:00,753.9,760.5,82,0,0,11,285.15,288.15,0,480,0,0,0,0
2013-11-23 03:00:00,753.1,759.7,82,0,0,11,285.15,288.15,0,480,0,0,0,0
2013-11-23 04:00:00,753.1,759.7,88,0,0,11,286.15,288.15,0,480,0,0,0,0
2013-11-23 05:00:00,753.9,760.5,88,0,0,11,286.15,288.15,0,480,0,0,0,0
2013-11-23 06:00:00,753.9,760.5,83,0,0,11,286.15,289.15,0,480,0,0,0,0
2013-11-23 07:00:00,753.9,760.5,82,0,0,11,285.15,288.15,0,480,0,0,0,0
2013-11-23 08:00:00,754.6,761.2,88,0,0,11,286.15,288.15,0,480,0,0,0,0
2013-11-23 09:00:00,754.6,761.2,77,0,0,11,286.15,290.15,0,480,0,0,0,0
2013-11-23 10:00:00,754.6,761.2,78,0,0,11,287.15,291.15,0,480,0,0,0,0
2013-11-23 11:00:00,754.6,761.2,68,0,0,11,286.15,292.15,0,480,0,0,0,0
2013-11-23 12:00:00,754.7,761.2,60,0,0,11,286.15,294.15,0,480,0,0,0,0
2013-11-23 13:00:00,754,760.5,61,0,0,11,287.15,295.15,0,480,0,0,0,0
2013-11-23 14:00:00,753.2,759.7,61,0,0,11,287.15,295.15,0,480,0,0,0,0
2013-11-23 15:00:00,752.5,759,57,14,4,11,287.15,296.15,0,480,0,0,0,0
2013-11-23 16:00:00,751.8,758.2,57,16,5,11,287.15,296.15,0,0,0,0,0,0
2013-11-23 17:00:00,751.7,758.2,60,14,6,11,286.15,294.15,0,480,0,0,0,0
2013-11-23 18:00:00,752.5,759,64,13,4,11,286.15,293.15,0,480,0,0,0,0
2013-11-23 19:00:00,752.5,759,68,13,5,11,286.15,292.15,0,0,0,0,0,0
2013-11-23 20:00:00,752.4,759,73,16,4,11,286.15,291.15,0,480,0,0,0,0
2013-11-23 21:00:00,752.4,759,83,9,3,11,287.15,290.15,0,480,0,0,0,0
2013-11-23 22:00:00,753.1,759.7,83,13,2,11,286.15,289.15,0,480,0,0,0,0
2013-11-23 23:00:00,753.1,759.7,88,0,0,11,287.15,289.15,0,480,0,0,0,0
2013-11-24 00:00:00,753.1,759.7,88,0,0,11,286.15,288.15,0,0,0,0,0,0
2013-11-24 01:00:00,752.3,759,88,0,0,11,285.15,287.15,0,0,0,0,0,0
2013-11-24 02:00:00,752.3,759,94,0,0,11,286.15,287.15,0,480,0,0,0,0
2013-11-24 03:00:00,752.3,759,94,0,0,11,286.15,287.15,0,0,0,0,0,0
2013-11-24 04:00:00,751.6,758.2,94,0,0,11,286.15,287.15,0,0,0,0,0,0
2013-11-24 05:00:00,751.6,758.2,88,0,0,11,286.15,288.15,0,480,0,0,0,0
2013-11-24 06:00:00,751.6,758.2,94,0,0,11,286.15,287.15,0,480,0,0,0,0
2013-11-24 07:00:00,751.6,758.2,94,13,3,11,287.15,288.15,0,0,0,0,0,0
2013-11-24 08:00:00,752.4,759,94,13,3,11,288.15,289.15,0,0,0,0,0,0
2013-11-24 09:00:00,752.4,759,68,16,3,11,285.15,291.15,0,0,480,0,0,0
2013-11-24 10:00:00,,,,-1,,11,,,0,0,480,0,0,0
2013-11-24 11:00:00,752.5,759,78,14,6,11,289.15,293.15,0,0,480,0,0,0
