Time,T,P0,P,U,DD,Ff,VV,Td,Few clouds,Scattered clouds,Broken clouds,Overcast,cumulonimbus clouds,cumulus congestus of great vertical extent
2013-11-23 06:00:00,287.15,733.8,760.5,94,6,1,11,286.15,0,0,480,0,0,0
2013-11-23 07:00:00,288.15,734.5,761.2,94,6,2,11,287.15,0,0,480,0,0,0
2013-11-23 08:00:00,290.15,734.7,761.2,94,7,4,11,289.15,0,0,480,0,0,0
2013-11-23 09:00:00,291.15,734.8,761.2,88,8,4,11,289.15,0,0,480,0,0,0
2013-11-23 10:00:00,292.15,735.6,762,78,4,3,11,288.15,0,0,480,0,0,0
2013-11-23 11:00:00,293.15,735.7,762,69,5,6,11,287.15,0,0,480,0,0,0
2013-11-23 12:00:00,293.15,735,761.2,69,4,8,11,287.15,0,0,480,0,0,0
2013-11-23 13:00:00,293.15,735,761.2,69,6,5,11,287.15,0,0,480,0,0,0
2013-11-23 14:00:00,293.15,734.3,760.5,69,4,8,11,287.15,0,0,480,0,0,0
2013-11-23 15:00:00,293.15,733.5,759.7,64,4,6,11,286.15,0,0,480,0,0,0
2013-11-23 16:00:00,293.15,733.5,759.7,64,4,6,11,286.15,0,0,480,0,0,0
2013-11-23 17:00:00,292.15,734.2,760.5,73,7,5,11,287.15,0,0,480,0,0,0
2013-11-24 06:00:00,289.15,733.2,759.7,94,7,5,11,288.15,0,480,0,0,0,0
2013-11-24 07:00:00,289.15,733.2,759.7,94,15,4,6,288.15,180,480,0,0,0,0
2013-11-24 08:00:00,289.15,733.2,759.7,94,15,4,6,288.15,180,480,0,0,0,0
2013-11-24 10:00:00,291.15,734.1,760.5,94,8,6,4,290.15,0,0,0,180,0,0
2013-11-24 10:45:00,292.15,733.4,759.7,88,8,8,6,290.15,0,300,480,0,0,0
2013-11-24 11:00:00,292.15,733.4,759.7,88,8,8,6,290.15,0,300,480,0,0,0
2013-11-24 12:00:00,292.15,732.8,759,83,8,8,8,289.15,3300,0,480,0,0,0
2013-11-24 13:00:00,292.15,732.8,759,78,8,6,8,288.15,300,0,480,0,0,0
2013-11-24 14:00:00,292.15,732,758.2,83,8,7,6,289.15,300,0,480,0,0,0
2013-11-24 15:00:00,291.15,731.9,758.2,83,7,6,6,288.15,300,0,480,0,0,0
2013-11-24 16:00:00,291.15,731.9,758.2,83,7,6,6,288.15,300,0,480,0,0,0
2013-11-24 17:00:00,290.15,731.8,758.2,83,4,6,8,287.15,0,0,480,0,0,0
2013-11-24 18:00:00,290.15,731.8,758.2,77,4,6,11,286.15,0,0,480,0,0,0
2013-11-25 06:00:00,289.15,731.2,757.7,88,6,5,11,287.15,0,0,480,0,0,0
2013-11-25 07:00:00,288.15,731.1,757.7,88,6,6,11,286.15,0,0,480,0,0,0
2013-11-25 08:00:00,288.15,731.6,758.2,88,4,6,11,286.15,0,0,480,0,0,0
2013-11-25 09:00:00,289.15,732.5,759,77,4,7,11,285.15,0,480,0,0,0,0
2013-11-25 10:00:00,288.15,732.4,759,77,4,6,11,284.15,0,0,480,0,0,0
2013-11-25 11:00:00,290.15,732.6,759,64,4,6,11,283.15,0,0,480,0,0,0
2013-11-25 12:00:00,290.15,732.6,759,68,4,6,11,284.15,480,0,0,0,0,0
2013-11-25 13:00:00,291.15,731.4,757.7,60,8,5,11,283.15,480,0,0,0,0,0
2013-11-25 14:00:00,291.15,731.4,757.7,60,8,5,11,283.15,480,0,0,0,0,0
2013-11-25 15:00:00,291.15,730.6,756.9,60,15,5,11,283.15,480,0,0,0,0,0
2013-11-25 16:00:00,291.15,730.6,756.9,60,14,5,11,283.15,480,0,0,0,0,0
