,percip_mm,humidity,temp,leafwet450_min,leafwet_lwscnt,gusts_ms,wind_dir,wind_ms,yield
28-11-2013 00:00,0,0.419515936,281.3333336,0,440,3.382229676,125.25,3.030176014,0
28-11-2013 02:00,0,0.422065084,281.2708337,0,440,3.482816428,124.5,3.155909469,0
28-11-2013 04:00,0,0.369993997,281.7125001,0,439.2916667,3.403185248,124.3333333,3.08466054,0
28-11-2013 06:00,0,0.382980345,281.5416667,0,439,3.33612739,126.9166667,3.055322746,0
28-11-2013 08:00,0,0.377310103,282.3083334,0,439,3.927074601,120.9166667,3.629505475,0
28-11-2013 10:00,0,0.347650087,284.1291667,0,438.7916667,3.910310139,121.5833333,3.533109794,0.0696767
28-11-2013 12:00,0,0.338138382,285.85,0,438.625,3.281642914,125.4166667,2.858340293,0.09754738
28-11-2013 14:00,0,0.337488561,286.4958333,0,438.9166667,2.950544864,127.9583333,2.594300061,0
28-11-2013 16:00,0,0.353223534,286.2416668,0,439,2.447611074,134,2.17099751,0
28-11-2013 18:00,0,0.357422739,285.3333332,0,439,3.042749365,123.125,2.707460165,0
28-11-2013 20:00,0.025000001,0.354256809,284.9500002,0,439,3.202011704,126.0833333,2.912824829,0
28-11-2013 22:00,0.058333332,0.356653235,284.7833334,0,439,3.595976571,126.125,3.348700742,0
29-11-2013 00:00,0.008333333,0.359888721,284.4,0,439,3.801341166,122.125,3.495389789,0
29-11-2013 02:00,0,0.362886714,284.2750001,0,439,3.797150056,131.1666667,3.524727603,0
29-11-2013 04:00,0.016666667,0.365096339,284.1708333,0,439,3.872590095,129.375,3.533109824,0
29-11-2013 06:00,0.008333333,0.363272314,284.0749999,0,439,3.805532277,134.0416667,3.524727573,0
29-11-2013 08:00,0,0.347005588,284.9249999,0,438.2083333,3.269069572,131.6666667,2.921207031,0
29-11-2013 10:00,0,0.313102187,287.1833333,0,437.3333333,2.803855836,131.0416667,2.468566626,0
29-11-2013 12:00,0,0.281884701,288.7374999,0,437,2.858340313,130.2083333,2.409891029,0
29-11-2013 14:00,0,0.282455808,288.8875,0,437.2916667,2.849958112,104,2.183570827,0
29-11-2013 16:00,0,0.305433029,287.675,0,438,1.567476951,83.58333333,1.047778707,0
29-11-2013 18:00,0,0.31236626,286.8458335,0,438.0833333,0.825649633,141.1666667,0.553227164,0
29-11-2013 20:00,0,0.306681465,286.7833334,0,438,1.135792126,153.3333333,0.955574205,0
29-11-2013 22:00,0,0.311280092,286.9916667,0,438,0.750209564,161.2083333,0.569991608,0
30-11-2013 00:00,0,0.323769292,286.8083336,0,438.0416667,0.72087176,174.5,0.536462699,0
30-11-2013 02:00,0,0.317366467,286.7833335,0,438.0833333,0.402347026,111.1666667,0.297569153,0
30-11-2013 04:00,0,0.306760134,286.7666668,0,438,0.70410729,225.0416667,0.540653814,0
30-11-2013 06:00,0,0.308132446,286.5375,0,438,0.968147526,213.1666667,0.758591797,0
30-11-2013 08:00,0,0.311160598,286.8000001,0,437.8333333,1.345347861,32.91666667,1.173512153,0
30-11-2013 10:00,0,0.295363369,288.2666667,0,437,1.87342834,49.58333333,1.429170176,0
30-11-2013 12:00,0,0.323359602,288.5416666,0,437.0416667,2.087175176,168.8333333,1.58424141,0
30-11-2013 14:00,0,0.406851857,287.9916667,0,437.75,1.634534796,250.5416667,1.181894382,0
30-11-2013 16:00,0,0.453568856,285.8791666,0,438.8333333,1.269907802,60.08333333,0.972338652,0
30-11-2013 18:00,0,0.513229424,285.0458334,0,439.375,1.303436716,133.9166667,1.026823146,0
30-11-2013 20:00,0,0.62254939,284.3833333,0,440.2916667,2.715842446,319.6666667,2.3386421,0
30-11-2013 22:00,0,0.850301574,283.8708334,0,442.375,2.682313472,327.375,2.305113186,0
2013-01-12 00:00:00,0,0.540275815,284.4500002,0,441.125,2.221290867,329.4166667,1.8315172,0
2013-01-12 02:00:00,0,0.561660474,283.7375,0,441,2.552388936,175.5,2.12908636,0
2013-01-12 04:00:00,0,0.67629722,282.75,0,441.8333333,3.235540658,129.4583333,2.615255654,0
2013-01-12 06:00:00,0,0.952247789,281.0833333,3.625,524.6666667,3.491198649,332.4166667,3.00083825,2.369007804
2013-01-12 08:00:00,0,0.8858783,281.7958334,2.166666667,456.5,3.943839063,318.5,3.445096393,0.01393534
2013-01-12 10:00:00,0,0.991156265,281.6124999,0,445.2916667,4.124056985,317,3.600167622,0.03483835
2013-01-12 12:00:00,0,0.863433865,282.1708333,0,444.375,4.337803831,316.625,3.826487859,0.00696767
2013-01-12 14:00:00,0,0.864324912,281.8833334,0.458333333,445.8333333,5.041911205,314.25,4.253981541,0.00696767
2013-01-12 16:00:00,0,1.027469382,279.9875,5,517.7083333,4.660519709,298.25,4.023470243,0.989409142
2013-01-12 18:00:00,0,1.043075879,279.5583334,5,717.0833333,5.146689077,325.5833333,4.551550706,3.037904125
2013-01-12 20:00:00,0,1.047998627,279.5291667,5,977.4583333,4.119865835,320.0416667,3.650461018,3.163322185
2013-01-12 22:00:00,0,1.052304919,280.0916667,5,949.4583333,3.248114015,317.9583333,2.627829,2.069397993
2013-02-12 00:00:00,0,1.056006491,279.9750001,5,988.2083333,2.145850822,323.4166667,1.806370502,1.066053512
2013-02-12 02:00:00,0,0.938954259,279.4833334,4.166666667,768,1.165129931,172.2083333,0.884325239,0
2013-02-12 04:00:00,0,0.51051961,281.4208335,0,444.0833333,2.694886824,135.5833333,2.175188606,0
2013-02-12 06:00:00,0,0.392664477,281.1250002,0,442.5416667,3.059513827,127.625,2.606873453,0.00696767
2013-02-12 08:00:00,0,0.360028356,281.2916667,0,441.4583333,3.16429171,124,2.766135802,0
2013-02-12 10:00:00,0,0.332515267,283.0083333,0,440.125,3.554065386,119.7083333,2.91701594,0
2013-02-12 12:00:00,0,0.300006821,285.1708333,0,439.0416667,2.803855846,106.625,2.04107296,0
