,Local.time.in.Agadir...Al.Massira..airport.,T,P0,P,U,DD,Ff,ff10,WW,W.W.,c,VV,Td,Few clouds,Scattered clouds,Broken clouds,Overcast,cumulonimbus clouds,cumulus congestus of great vertical extent
1,11/23/13 0:00,15,753.9,760.5,82,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,12,0,480,0,0,0,0
2,11/23/13 1:00,15,753.9,760.5,88,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
3,11/23/13 2:00,15,753.9,760.5,82,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,12,0,480,0,0,0,0
4,11/23/13 3:00,15,753.1,759.7,82,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,12,0,480,0,0,0,0
5,11/23/13 4:00,15,753.1,759.7,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
6,11/23/13 5:00,15,753.9,760.5,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
7,11/23/13 6:00,16,753.9,760.5,83,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
8,11/23/13 7:00,15,753.9,760.5,82,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,12,0,480,0,0,0,0
9,11/23/13 8:00,15,754.6,761.2,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
10,11/23/13 9:00,17,754.6,761.2,77,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 300 m, scattered clouds (40-50%) 480 m",10.0 and more,13,0,480,0,0,0,0
11,11/23/13 10:00,18,754.6,761.2,78,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
12,11/23/13 11:00,19,754.6,761.2,68,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
13,11/23/13 12:00,21,754.7,761.2,60,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
14,11/23/13 13:00,22,754,760.5,61,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
15,11/23/13 14:00,22,753.2,759.7,61,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
16,11/23/13 15:00,23,752.5,759,57,Wind blowing from the west,4,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
17,11/23/13 16:00,23,751.8,758.2,57,Wind blowing from the west-southwest,5,NA,,,,10.0 and more,14,0,0,0,0,0,0
18,11/23/13 17:00,21,751.7,758.2,60,Wind blowing from the west,6,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
19,11/23/13 18:00,20,752.5,759,64,Wind blowing from the south-west,4,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
20,11/23/13 19:00,19,752.5,759,68,Wind blowing from the south-west,5,NA,,,,10.0 and more,13,0,0,0,0,0,0
21,11/23/13 20:00,18,752.4,759,73,Wind blowing from the west-southwest,4,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
22,11/23/13 21:00,17,752.4,759,83,Wind blowing from the south,3,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
23,11/23/13 22:00,16,753.1,759.7,83,Wind blowing from the south-west,2,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
24,11/23/13 23:00,16,753.1,759.7,88,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,14,0,480,0,0,0,0
25,11/24/13 0:00,15,753.1,759.7,88,"Calm, no wind",0,NA,,,,10.0 and more,13,0,0,0,0,0,0
26,11/24/13 1:00,14,752.3,759,88,"Calm, no wind",0,NA,,,,10.0 and more,12,0,0,0,0,0,0
27,11/24/13 2:00,14,752.3,759,94,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
28,11/24/13 3:00,14,752.3,759,94,"Calm, no wind",0,NA,,,,10.0 and more,13,0,0,0,0,0,0
29,11/24/13 4:00,14,751.6,758.2,94,"Calm, no wind",0,NA,,,,10.0 and more,13,0,0,0,0,0,0
30,11/24/13 5:00,15,751.6,758.2,88,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
31,11/24/13 6:00,14,751.6,758.2,94,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,13,0,480,0,0,0,0
32,11/24/13 7:00,15,751.6,758.2,94,Wind blowing from the south-west,3,NA,,,,10.0 and more,14,0,0,0,0,0,0
33,11/24/13 8:00,16,752.4,759,94,Wind blowing from the south-west,3,NA,,,,10.0 and more,15,0,0,0,0,0,0
34,11/24/13 9:00,18,752.4,759,68,Wind blowing from the west-southwest,3,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,12,0,0,480,0,0,0
35,11/24/13 10:00,NA,NA,NA,NA,,NA,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,NA,0,0,480,0,0,0
36,11/24/13 11:00,20,752.5,759,78,Wind blowing from the west,6,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,16,0,0,480,0,0,0
37,11/24/13 12:00,20,751.7,758.2,78,Wind blowing from the west,10,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,16,0,0,480,0,0,0
38,11/24/13 13:00,22,751.2,757.7,69,Wind blowing from the west,8,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,16,0,0,480,0,0,0
39,11/24/13 14:00,21,750.4,756.9,69,Wind blowing from the west,9,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,15,0,0,480,0,0,0
40,11/24/13 15:00,22,750.4,756.9,69,Wind blowing from the west,10,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,16,0,0,480,0,0,0
41,11/24/13 16:00,21,750.4,756.9,69,Wind blowing from the west-southwest,8,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,15,0,0,480,0,0,0
42,11/24/13 17:00,20,750.4,756.9,73,Wind blowing from the west,9,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
43,11/24/13 18:00,18,750.4,756.9,83,Wind blowing from the west-southwest,7,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
44,11/24/13 19:00,18,750.4,756.9,83,Wind blowing from the west,6,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
45,11/24/13 20:00,17,750.3,756.9,88,Wind blowing from the west-southwest,6,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
46,11/24/13 21:00,17,750.3,756.9,88,Wind blowing from the south-west,3,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
47,11/24/13 22:00,17,750.3,756.9,88,Wind blowing from the south,4,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
48,11/24/13 23:00,17,751.1,757.7,88,"Calm, no wind",0,NA,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,0,480,0,0,0,0
49,11/25/13 0:00,17,751.1,757.7,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m",10.0 and more,15,0,240,480,0,0,0
50,11/25/13 1:00,17,751.1,757.7,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m",10.0 and more,15,0,240,480,0,0,0
51,11/25/13 2:00,17,750.3,756.9,88,"Calm, no wind",0,NA,,,,10.0 and more,15,0,0,0,0,0,0
52,11/25/13 3:00,17,750.3,756.9,88,"Calm, no wind",0,NA,,,,10.0 and more,15,0,0,0,0,0,0
53,11/25/13 4:00,17,750.3,756.9,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m",10.0 and more,15,0,240,480,0,0,0
54,11/25/13 5:00,17,750.3,756.9,88,"Calm, no wind",0,NA,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m",10.0 and more,15,0,240,480,0,0,0
55,11/25/13 6:00,17,750.3,756.9,83,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,1,14,0,0,480,0,0,0
56,11/25/13 7:00,16,751.1,757.7,88,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,14,0,0,480,0,0,0
57,11/25/13 8:00,16,751.1,757.7,88,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,14,0,0,480,0,0,0
58,11/25/13 9:00,17,751.6,758.2,88,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,15,0,0,480,0,0,0
59,11/25/13 10:00,18,751.6,758.2,83,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,15,0,0,480,0,0,0
60,11/25/13 11:00,19,751.7,758.2,73,"Calm, no wind",0,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,14,0,0,480,0,0,0
61,11/25/13 12:00,21,751.2,757.7,64,Wind blowing from the south-west,2,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,14,0,0,480,0,0,0
