"","Local.time.in.Guelmim","T","P0","P","U","DD","Ff","ff10","WW","W.W.","c","VV","Td","Few clouds","Scattered clouds","Broken clouds","Overcast","cumulonimbus clouds","cumulus congestus of great vertical extent"
"1","2013-11-23 06:00:00",14,733.8,760.5,94,"Wind blowing from the north-northeast",1,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"2","2013-11-23 07:00:00",15,734.5,761.2,94,"Wind blowing from the north-northeast",2,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"3","2013-11-23 08:00:00",17,734.7,761.2,94,"Wind blowing from the north-northwest",4,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",16,"0","0","480","0",0,0
"4","2013-11-23 09:00:00",18,734.8,761.2,88,"Wind blowing from the north-west",4,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",16,"0","0","480","0",0,0
"5","2013-11-23 10:00:00",19,735.6,762,78,"Wind blowing from the north",3,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",15,"0","0","480","0",0,0
"6","2013-11-23 11:00:00",20,735.7,762,69,"Wind blowing from the north-east",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"7","2013-11-23 12:00:00",20,735,761.2,69,"Wind blowing from the north",8,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"8","2013-11-23 13:00:00",20,735,761.2,69,"Wind blowing from the north-northeast",5,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"9","2013-11-23 14:00:00",20,734.3,760.5,69,"Wind blowing from the north",8,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"10","2013-11-23 15:00:00",20,733.5,759.7,64,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"11","2013-11-23 16:00:00",20,733.5,759.7,64,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"12","2013-11-23 17:00:00",19,734.2,760.5,73,"Wind blowing from the north-northwest",5,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"13","2013-11-24 06:00:00",16,733.2,759.7,94,"Wind blowing from the north-northwest",5,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",15,"0","480","0","0",0,0
"14","2013-11-24 07:00:00",16,733.2,759.7,94,"Wind blowing from the west-northwest",4,NA,"","","Few clouds (10-30%) 180 m, scattered clouds (40-50%) 480 m","6.0",15,"180","480","0","0",0,0
"15","2013-11-24 08:00:00",16,733.2,759.7,94,"Wind blowing from the west-northwest",4,NA,"","","Few clouds (10-30%) 180 m, scattered clouds (40-50%) 480 m","6.0",15,"180","480","0","0",0,0
"16","2013-11-24 10:00:00",18,734.1,760.5,94,"Wind blowing from the north-west",6,NA,"Mist","","Overcast (100%) 180 m","4.0",17,"0","0","0","180",0,0
"17","2013-11-24 10:45:00",19,733.4,759.7,88,"Wind blowing from the north-west",8,NA,"","","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","6.0",17,"0","300","480","0",0,0
"18","2013-11-24 11:00:00",19,733.4,759.7,88,"Wind blowing from the north-west",8,NA,"","Drizzle","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","6.0",17,"0","300","480","0",0,0
"19","2013-11-24 12:00:00",19,732.8,759,83,"Wind blowing from the north-west",8,NA,"","","Few clouds (10-30%) 3300 m, broken clouds (60-90%) 480 m","8.0",16,"3300","0","480","0",0,0
"20","2013-11-24 13:00:00",19,732.8,759,78,"Wind blowing from the north-west",6,NA,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","8.0",15,"300","0","480","0",0,0
"21","2013-11-24 14:00:00",19,732,758.2,83,"Wind blowing from the north-west",7,NA,"","Rain","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","6.0",16,"300","0","480","0",0,0
"22","2013-11-24 15:00:00",18,731.9,758.2,83,"Wind blowing from the north-northwest",6,NA,"","Rain","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","6.0",15,"300","0","480","0",0,0
"23","2013-11-24 16:00:00",18,731.9,758.2,83,"Wind blowing from the north-northwest",6,NA,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","6.0",15,"300","0","480","0",0,0
"24","2013-11-24 17:00:00",17,731.8,758.2,83,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","8.0",14,"0","0","480","0",0,0
"25","2013-11-24 18:00:00",17,731.8,758.2,77,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"26","2013-11-25 06:00:00",16,731.2,757.7,88,"Wind blowing from the north-northeast",5,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",14,"0","0","480","0",0,0
"27","2013-11-25 07:00:00",15,731.1,757.7,88,"Wind blowing from the north-northeast",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"28","2013-11-25 08:00:00",15,731.6,758.2,88,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",13,"0","0","480","0",0,0
"29","2013-11-25 09:00:00",16,732.5,759,77,"Wind blowing from the north",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",12,"0","480","0","0",0,0
"30","2013-11-25 10:00:00",15,732.4,759,77,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",11,"0","0","480","0",0,0
"31","2013-11-25 11:00:00",17,732.6,759,64,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",10,"0","0","480","0",0,0
"32","2013-11-25 12:00:00",17,732.6,759,68,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",11,"480","0","0","0",0,0
"33","2013-11-25 13:00:00",18,731.4,757.7,60,"Wind blowing from the north-west",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"34","2013-11-25 14:00:00",18,731.4,757.7,60,"Wind blowing from the north-west",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"35","2013-11-25 15:00:00",18,730.6,756.9,60,"Wind blowing from the west-northwest",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"36","2013-11-25 16:00:00",18,730.6,756.9,60,"Wind blowing from the west",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"37","2013-11-25 17:00:00",16,731.2,757.7,68,"Wind blowing from the west",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"38","2013-11-25 18:00:00",15,731.1,757.7,72,"Wind blowing from the west",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"39","2013-11-26 06:00:00",14,733.8,760.5,51,"Wind blowing from the east",7,NA,"","","No Significant Clouds","10.0 and more",4,"0","0","0","0",0,0
"40","2013-11-26 07:00:00",13,734.3,761.2,47,"Wind blowing from the east",2,NA,"","","No Significant Clouds","10.0 and more",2,"0","0","0","0",0,0
"41","2013-11-26 08:00:00",14,735.2,762,36,"Wind blowing from the east-southeast",5,NA,"","","No Significant Clouds","10.0 and more",-1,"0","0","0","0",0,0
"42","2013-11-26 09:00:00",NA,NA,NA,NA,"Wind blowing from the east-southeast",8,NA,"","","","",NA,"0","0","0","0",0,0
"43","2013-11-26 10:00:00",18,735.6,762,28,"Wind blowing from the east-southeast",9,NA,"","","No Significant Clouds","10.0 and more",-1,"0","0","0","0",0,0
"44","2013-11-26 11:00:00",19,735.6,762,21,"Wind blowing from the east-southeast",9,NA,"","","No Significant Clouds","10.0 and more",-4,"0","0","0","0",0,0
"45","2013-11-26 12:00:00",20,735.7,762,21,"Wind blowing from the east-southeast",8,13,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"46","2013-11-26 13:00:00",20,735,761.2,21,"Wind blowing from the east",5,11,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
"47","2013-11-26 14:00:00",21,734.4,760.5,21,"Wind blowing from the east-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"48","2013-11-26 15:00:00",21,733.6,759.7,21,"Wind blowing from the east-southeast",7,NA,"","","No Significant Clouds","10.0 and more",-2,"0","0","0","0",0,0
"49","2013-11-26 16:00:00",21,733.6,759.7,20,"Wind blowing from the south-southeast",6,NA,"","","No Significant Clouds","10.0 and more",-3,"0","0","0","0",0,0
