"Time","P0","P","U","DD","Ff","VV","Td","T","Few.clouds","Scattered.clouds","Broken.clouds","Overcast","cumulonimbus.clouds","cumulus.congestus.of.great.vertical.extent","yield"
"2013-11-28 00:00:00",755.6,762.4,42,3.5,2.5,11,271.15,283.65,0,0,0,0,0,0,0
"2013-11-28 02:00:00",755.3,762,41,1,3.5,11,271.15,284.15,0,0,0,0,0,0,0
"2013-11-28 04:00:00",755.25,762,44,1.5,4,11,271.65,283.65,0,0,0,0,0,0,0
"2013-11-28 08:00:00",756.35,763.15,50,2,4,11,272.15,282.15,0,0,0,0,0,0,0
"2013-11-28 10:00:00",756.85,763.5,32,2,5.5,11,272.15,289.15,0,0,0,0,0,0,0.0696767
"2013-11-28 12:00:00",756.65,763.15,16.5,2,5.5,11,269.65,296.15,0,0,0,0,0,0,0.09754738
"2013-11-28 14:00:00",755.2,761.6,15.5,1,1.5,11,270.65,298.65,0,0,0,0,0,0,0
"2013-11-28 16:00:00",754.1,760.5,17.5,0,0,11,272.15,298.65,0,0,0,0,0,0,0
"2013-11-28 18:00:00",754.05,760.5,22,0,0,11,273.65,296.65,0,0,0,0,0,0,0
"2013-11-28 20:00:00",754.7,761.2,27.5,0,0,11,274.15,293.65,0,0,0,0,0,0,0
"2013-11-28 22:00:00",755,761.6,30,0,0,11,274.15,292.15,0,0,0,0,0,0,0
"2013-11-29 00:00:00",755.35,762,39,1,1.5,11,275.15,289.15,0,0,0,0,0,0,0
"2013-11-29 02:00:00",754.6,761.2,36.5,2,4,11,274.65,289.65,0,0,0,0,0,0,0
"2013-11-29 04:00:00",754.95,761.6,42.5,2,3,11,276.15,289.15,0,0,0,0,0,0,0
"2013-11-29 06:00:00",755.3,762,46.5,2.5,3,11,276.15,287.65,0,0,0,0,0,0,0
"2013-11-29 08:00:00",756.15,762.8,43.5,0.5,1.5,11,276.15,288.65,0,0,0,0,0,0,0
"2013-11-29 10:00:00",756.95,763.5,28.5,3.5,3.5,11,274.15,293.15,0,0,0,0,0,0,0
"2013-11-29 12:00:00",756.7,763.15,19.5,0,0,11,273.15,298.15,0,0,0,0,0,0,0
"2013-11-29 14:00:00",755.2,761.6,16.5,15.5,2,11,272.15,299.65,0,0,0,0,0,0,0
"2013-11-29 16:00:00",755.2,761.6,16.5,14,6.5,11,272.15,299.65,0,0,0,0,0,0,0
"2013-11-29 18:00:00",755.5,762,25,14,5,11,274.15,295.65,0,0,0,0,0,0,0
"2013-11-29 22:00:00",756.6,763.15,46.5,12.5,3.5,11,279.15,292.15,300,0,0,0,0,0,0
"2013-11-30 00:00:00",756.85,763.5,65.5,4.5,0.5,11,282.15,288.65,0,0,0,0,0,0,0
"2013-11-30 06:00:00",756.05,762.75,61.5,1,0.5,11,279.65,287.15,300,0,0,0,0,0,0
"2013-11-30 08:00:00",755.3,762,60,2,1.5,11,277.15,284.65,300,0,0,0,0,0,0
"2013-11-30 10:00:00",756.25,762.8,35.5,0,0,11,276.15,292.15,0,0,0,0,0,0,0
"2013-11-30 12:00:00",755.9,762.4,22.5,0,0,11,274.15,296.65,0,0,0,0,0,0,0
"2013-11-30 14:00:00",754.45,760.85,23,7,3.5,11,275.15,297.65,0,0,0,0,0,0,0
"2013-11-30 16:00:00",753.6,760.1,41,14,6,11,281.15,295.15,0,0,0,0,0,0,0
"2013-11-30 18:00:00",753.2,759.7,50,15,4.5,11,282.15,293.15,0,0,0,0,0,0,0
"2013-11-30 20:00:00",753.1,759.7,80,12,3,11,286.15,289.65,0,0,0,0,0,0,0
"2013-11-30 22:00:00",753.9,760.5,82.5,8.5,0.5,11,285.65,288.65,0,0,0,0,0,0,0
"2013-12-01 00:00:00",752.65,759.35,91,0.5,1,9.5,284.65,286.15,0,45,0,0,0,0,0
"2013-12-01 02:00:00",752.4,759,88,0,0,11,286.15,288.15,0,45,45,0,0,0,0
"2013-12-01 04:00:00",751.55,758.2,88,5,1,11,285.15,287.15,0,90,0,0,0,0,0
"2013-12-01 06:00:00",751.25,757.95,88,0,0,11,284.15,286.15,0,135,0,0,0,0,2.369007804
"2013-12-01 08:00:00",751.25,757.95,88,0,0,11,283.65,285.65,0,240,240,0,0,0,0.01393534
"2013-12-01 10:00:00",751.6,758.2,79.5,0,0,11,284.65,288.15,0,180,480,0,0,0,0.03483835
"2013-12-01 12:00:00",751.4,757.95,64,0,0,11,284.65,291.65,0,480,0,0,0,0,0.00696767
"2013-12-01 14:00:00",749.65,756.15,54.5,14.5,5,11,283.65,293.15,0,0,0,0,0,0,0.00696767
"2013-12-01 16:00:00",748.5,755,54,13,5,11,282.65,292.15,0,0,0,0,0,0,0.989409142
"2013-12-01 18:00:00",748.05,754.6,62,11,4.5,11,283.15,290.65,0,3000,0,0,0,0,3.037904125
"2013-12-01 20:00:00",749.2,755.8,74.5,10,4,11,283.65,288.15,0,3000,240,0,0,0,3.163322185
"2013-12-01 22:00:00",750.7,757.3,72,9.5,3,11,283.15,288.15,240,1500,255,0,0,0,2.069397993
"2013-12-02 00:00:00",751.35,757.95,72,5.5,1,11,282.65,287.65,480,3000,0,0,0,0,1.066053512
"2013-12-02 02:00:00",751.55,758.2,74.5,1.5,1,11,282.15,286.65,240,1500,0,0,0,0,0
"2013-12-02 04:00:00",751.5,758.2,77,3,2.5,11,282.15,286.15,0,0,0,0,0,0,0
"2013-12-02 06:00:00",751.85,758.6,84.5,1,1,11,279.65,282.15,0,0,0,0,0,0,0.00696767
"2013-12-02 08:00:00",752.55,759.35,87,2,3,11,280.15,282.15,0,0,0,0,0,0,0
"2013-12-02 10:00:00",753.45,760.1,72.5,1.5,2.5,11,282.15,287.15,0,0,0,0,0,0,0
"2013-12-02 12:00:00",753.5,760.1,56,0,0,11,282.15,291.15,0,0,0,0,0,0,0
"2013-12-02 14:00:00",752.85,759.35,42,15.5,1.5,11,280.65,294.15,0,0,0,0,0,0,0
"2013-12-02 16:00:00",752.8,759.35,49.5,14,6,11,281.65,292.65,0,0,0,0,0,0,0
"2013-12-02 20:00:00",753.85,760.5,79.5,0,0,11,283.65,287.15,0,0,0,0,0,0,0
"2013-12-02 22:00:00",754.5,761.2,82,1,1,11,283.15,286.15,0,0,0,0,0,0,0
"2013-12-03 00:00:00",755.2,762,85,1,1.5,11,280.65,283.15,0,0,0,0,0,0,0
"2013-12-03 02:00:00",754.85,761.6,82,3.5,3.5,11,280.15,283.15,0,0,0,0,0,0,0
"2013-12-03 04:00:00",754.4,761.2,73.5,2,4,11,278.65,283.15,0,0,0,0,0,0,0
"2013-12-03 06:00:00",754.4,761.2,66.5,2,4.5,11,276.15,282.15,0,0,0,0,0,0,0
"2013-12-03 08:00:00",755.6,762.4,54,2,5,11,273.65,282.65,0,0,0,0,0,0,0.00696767
"2013-12-03 10:00:00",756.5,763.15,30,2,6.5,11,271.65,289.65,0,0,0,0,0,0,0
"2013-12-03 12:00:00",756.6,763.15,20.5,2,7,11,270.15,293.65,0,0,0,0,0,0,0
"2013-12-03 14:00:00",755.9,762.4,20,4,4,11,271.15,295.15,0,1500,0,0,0,0,0
"2013-12-03 16:00:00",755.9,762.4,29,11.5,1.5,11,274.65,293.65,0,3000,0,0,0,0,0
"2013-12-03 18:00:00",756.55,763.15,49,2.5,3,11,279.65,290.65,0,300,1500,0,0,0,0
"2013-12-03 20:00:00",757.2,763.9,82,2,3.5,11,284.15,287.15,0,300,1500,0,0,0,0
"2013-12-03 22:00:00",757.6,764.3,74.5,1.5,5.5,11,283.15,287.65,0,0,0,0,0,0,0
"2013-12-04 02:00:00",756.8,763.5,77,5,5,11,283.65,287.65,0,3000,0,0,0,0,0
"2013-12-04 04:00:00",756.8,763.5,68,3.5,5.5,11,282.15,288.15,0,1500,0,0,0,0,0
"2013-12-04 06:00:00",757.2,763.9,68,2,5,11,282.15,288.15,0,300,1500,0,0,0,0
"2013-12-04 08:00:00",757.95,764.65,63,5,4.5,11,281.15,288.15,0,300,1500,0,0,0,0
"2013-12-04 10:00:00",758.75,765.4,61.5,3.5,5.5,11,282.65,290.15,0,3000,0,0,0,0,0
"2013-12-04 12:00:00",758.85,765.4,46,3.5,7,11,281.65,293.65,0,600,0,0,0,0,0
"2013-12-04 14:00:00",757.4,763.9,41,3.5,6,11,281.65,295.65,300,600,0,0,0,0,0
"2013-12-04 16:00:00",757.05,763.5,35,3.5,4,11,281.15,297.65,300,3000,0,0,0,0,0
"2013-12-04 18:00:00",757,763.5,39,1,1.5,11,281.15,296.15,300,300,0,0,0,0,0
"2013-12-04 20:00:00",757.25,763.9,60,0,0,11,282.65,290.65,300,300,0,0,0,0,0
"2013-12-04 22:00:00",757.6,764.3,70,1,3.5,11,283.15,288.65,600,0,0,0,0,0,0
"2013-12-05 00:00:00",757.6,764.3,68,2,3.5,11,282.65,288.65,600,0,0,0,0,0,0
"2013-12-05 04:00:00",757.6,764.3,72,1,4,11,281.65,286.65,300,0,0,0,0,0,0
"2013-12-05 06:00:00",757.6,764.3,77,1.5,3,10.2718884521804,281.15,285.15,0,0,0,0,0,0,0
"2013-12-05 08:00:00",757.9,764.65,77,1.5,3.5,11,281.65,285.65,300,0,0,0,0,0,0
"2013-12-05 10:00:00",758.8,765.4,52.5,2,5.5,11,281.65,291.65,0,0,0,0,0,0,0
"2013-12-05 12:00:00",758.5,765,38,2,4.5,11,281.15,296.15,0,0,0,0,0,0,0
"2013-12-05 14:00:00",756.75,763.15,25,1,1.5,11,278.15,299.65,240,0,0,0,0,0,0
"2013-12-05 16:00:00",756,762.4,22,7,1.5,11,277.15,300.65,480,0,0,0,0,0,0
"2013-12-05 18:00:00",756.35,762.8,33,14.5,2.5,11,279.15,296.65,240,1500,0,0,0,0,0
"2013-12-05 20:00:00",756.25,762.8,41.5,4.5,1.5,11,279.15,292.65,0,0,0,0,0,0,0
"2013-12-05 22:00:00",757.3,763.9,47.5,4.5,1.5,11,279.65,291.15,0,0,0,0,0,0,0
"2013-12-06 00:00:00",757.6,764.3,59,1.5,3,11,279.65,287.65,0,0,0,0,0,0,0
"2013-12-06 02:00:00",757.2,763.9,67,1.5,3,11,279.15,285.15,0,0,0,0,0,0,0
"2013-12-06 04:00:00",757.2,763.9,57,2,4,11,277.65,286.15,0,0,0,0,0,0,0
