"Time","T","P0","P","U","DD","VV","Td","Few.clouds","Scattered.clouds","Broken.clouds","Overcast","cumulonimbus.clouds","cumulus.congestus.of.great.vertical.extent","yield"
"2013-11-28 08:00:00",287.15,737,763.9,23,1,11,266.15,0,0,0,0,0,0,0
"2013-11-28 10:00:00",291.15,737.8,764.3,30,1,11,272.65,0,0,0,0,0,0,0.0696767
"2013-11-28 12:00:00",293.15,737.6,763.9,18,6.5,11,268.15,0,0,0,0,0,0,0.09754738
"2013-11-28 14:00:00",295.65,735.95,762,16,6.5,11,268.65,0,0,0,0,0,0,0
"2013-11-28 16:00:00",296.15,735.2,761.2,17,10,11,270.15,0,0,0,0,0,0,0
"2013-11-28 18:00:00",294.65,735.45,761.6,20.5,6.5,11,271.15,0,0,0,0,0,0,0
"2013-11-29 06:00:00",291.15,736.25,762.75,25,2,11,270.65,0,0,0,0,0,0,0
"2013-11-29 08:00:00",288.15,737.1,763.9,30,1,11,270.65,0,0,0,0,0,0,0
"2013-11-29 10:00:00",293.15,737.95,764.3,22.5,5.5,11,271.15,0,0,0,0,0,0,0
"2013-11-29 12:00:00",295.65,737.75,763.9,17.5,11,11,269.65,0,0,0,0,0,0,0
"2013-11-29 14:00:00",297.15,736.5,762.4,14.5,11,11,268.65,0,0,0,0,0,0,0
"2013-11-29 16:00:00",296.65,736.05,762,16.5,10,11,270.15,0,0,0,0,0,0,0
"2013-11-29 18:00:00",295.15,736.3,762.4,18,11,11,269.65,0,0,0,0,0,0,0
"2013-11-30 06:00:00",291.15,736.35,762.8,28,6,11,271.65,0,0,0,0,0,0,0
"2013-11-30 08:00:00",289.15,736.2,762.8,30,1,11,271.65,0,0,0,0,0,0,0
"2013-11-30 12:00:00",295.15,736.3,762.4,16.5,14,11,268.65,0,0,0,0,0,0,0
"2013-11-30 14:00:00",296.15,734.85,760.85,16.5,14,11,269.65,0,0,0,0,0,0,0
"2013-11-30 16:00:00",296.65,733.85,759.7,23.5,11.5,11,274.65,0,0,0,0,0,0,0
"2013-12-01 06:00:00",288.65,732.75,759.35,54.5,8.5,11,277.15,0,0,0,0,0,0,2.369007804
"2013-12-01 08:00:00",283.15,732.25,759.35,88,7.5,8.5,281.15,300,0,0,0,0,0,0.01393534
"2013-12-01 10:00:00",288.15,732.4,759,79.5,14,7,284.65,150,150,0,0,0,0,0.03483835
"2013-12-01 12:00:00",291.65,731.95,758.2,58,8,11,283.15,480,0,0,0,0,0,0.00696767
"2013-12-01 14:00:00",292.15,731.1,757.3,46,8,11,280.15,480,0,3000,0,0,0,0.00696767
"2013-12-01 16:00:00",291.15,730.6,756.9,47.5,6,11,279.65,480,0,6000,0,0,0,0.989409142
"2013-12-01 18:00:00",289.15,730.45,756.9,55.5,5.5,11,280.15,480,0,6000,0,0,0,3.037904125
"2013-12-02 06:00:00",285.65,731.5,758.3,73.5,2.5,11,280.65,240,0,3000,0,0,0,0.00696767
"2013-12-02 08:00:00",284.15,733.1,760.1,79.5,6.5,11,280.65,0,0,0,0,0,0,0
"2013-12-02 10:00:00",288.65,733.9,760.5,33,5.5,11,271.65,0,0,0,0,0,0,0
"2013-12-02 12:00:00",292.15,733.4,759.7,18.5,6.5,11,267.65,0,0,0,0,0,0,0
"2013-12-02 14:00:00",294.15,733.25,759.35,16.5,12.5,11,267.65,0,0,0,0,0,0,0
"2013-12-02 16:00:00",294.15,733.25,759.35,16.5,9.5,11,267.65,0,0,0,0,0,0,0
"2013-12-02 18:00:00",293.15,733.5,759.7,19,10,11,268.65,0,0,0,0,0,0,0
"2013-12-03 06:00:00",293.15,733.5,759.7,20,6,11,269.15,0,0,0,0,0,0,0
"2013-12-03 08:00:00",289.65,736.15,762.75,27,10,11,270.65,0,0,0,0,0,0,0.00696767
"2013-12-03 10:00:00",289.65,737.25,763.9,26.5,2,11,270.15,0,0,0,0,0,0,0
"2013-12-03 12:00:00",291.15,737.4,763.9,21.5,1,11,268.65,0,0,0,0,0,0,0
"2013-12-03 14:00:00",292.15,736.75,763.15,23,10,11,270.65,0,0,0,0,0,0,0
"2013-12-03 16:00:00",287.65,736.65,763.5,55.5,6.5,8.5,278.65,0,0,0,0,0,0,0
"2013-12-03 18:00:00",286.65,736.6,763.5,63,1,11,279.65,0,0,0,0,0,0,0
