,yield
2013-11-24 00:00:00,2.055185183
2013-11-24 02:00:00,2.426706556
2013-11-24 04:00:00,2.577713692
2013-11-24 06:00:00,2.577713692
2013-11-24 08:00:00,2.777546418
2013-11-24 10:00:00,0
2013-11-24 12:00:00,2.839068869
2013-11-24 14:00:00,2.809141431
2013-11-24 16:00:00,2.785369861
2013-11-24 18:00:00,3.262661701
2013-11-24 20:00:00,3.387960574
2013-11-24 22:00:00,2.992059867
2013-11-25 00:00:00,2.186023218
2013-11-25 02:00:00,2.358602801
2013-11-25 04:00:00,2.358602801
2013-11-25 06:00:00,2.318072529
2013-11-25 08:00:00,2.33632868
2013-11-25 10:00:00,1.887325243
2013-11-25 12:00:00,1.95459754
2013-11-25 14:00:00,2.168342147
2013-11-25 16:00:00,2.339659971
2013-11-25 18:00:00,2.650083899
2013-11-25 20:00:00,2.206631809
2013-11-25 22:00:00,2.479880952
2013-11-26 00:00:00,2.647153871
2013-11-26 02:00:00,0
2013-11-26 04:00:00,2.677979481
2013-11-26 06:00:00,2.849857391
2013-11-26 08:00:00,2.725914134
2013-11-26 10:00:00,0.881132969
2013-11-26 12:00:00,0.029325105
2013-11-26 14:00:00,1.416204511
2013-11-26 16:00:00,1.844455017
2013-11-26 18:00:00,2.352585714
2013-11-26 20:00:00,2.028803734
2013-11-26 22:00:00,2.148249349
2013-11-27 00:00:00,2.155450972
2013-11-27 02:00:00,2.305756435
2013-11-27 04:00:00,2.477634345
2013-11-27 06:00:00,3.039714784
2013-11-27 08:00:00,2.8671352
2013-11-27 10:00:00,0.980468147
2013-11-27 12:00:00,0.678292852
2013-11-27 14:00:00,0.501754269
2013-11-27 16:00:00,0.058741425
2013-11-27 18:00:00,0.738278103
2013-11-27 20:00:00,1.457643381
2013-11-27 22:00:00,1.871112059
2013-12-14 00:00:00,0.35248147
2013-12-14 02:00:00,0.70708906
2013-12-14 04:00:00,1.429443045
2013-12-14 06:00:00,1.000295604
2013-12-14 08:00:00,0.666558788
2013-12-14 10:00:00,0
2013-12-14 12:00:00,0
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0.398150394
2013-12-14 18:00:00,0.579774386
2013-12-14 20:00:00,0.572389442
2013-12-14 22:00:00,0
2013-12-15 00:00:00,0.543957899
2013-12-15 02:00:00,1.223932831
2013-12-15 04:00:00,1.06620974
2013-12-15 06:00:00,1.153319049
2013-12-15 08:00:00,0.906691543
2013-12-15 10:00:00,0
2013-12-15 12:00:00,0
2013-12-15 14:00:00,0
2013-12-15 16:00:00,0
2013-12-15 18:00:00,0
2013-12-15 20:00:00,0.218590874
2013-12-15 22:00:00,0.37259266
2013-12-16 00:00:00,0.537045446
2013-12-16 02:00:00,0.212326104
2013-12-16 04:00:00,0.179901886
2013-12-16 06:00:00,0.423298255
2013-12-16 08:00:00,0.03974652
2013-12-16 10:00:00,0.053753511
2013-12-16 12:00:00,0
2013-12-16 14:00:00,0.021693127
2013-12-16 16:00:00,0
2013-12-16 18:00:00,0.78453739
2013-12-16 20:00:00,0.11270101
2013-12-16 22:00:00,0.405697807
