,yield
2013-11-24 00:00:00,2.019853444
2013-11-24 02:00:00,2.619381009
2013-11-24 04:00:00,2.66166097
2013-11-24 06:00:00,2.768952274
2013-11-24 08:00:00,3.06544431
2013-11-24 10:00:00,0
2013-11-24 12:00:00,3.030670483
2013-11-24 14:00:00,2.861436818
2013-11-24 16:00:00,2.863829909
2013-11-24 18:00:00,3.493765491
2013-11-24 20:00:00,3.69681264
2013-11-24 22:00:00,3.174299454
2013-11-25 00:00:00,2.326743636
2013-11-25 02:00:00,2.261663309
2013-11-25 04:00:00,2.491551873
2013-11-25 06:00:00,1.247075645
2013-11-25 08:00:00,2.440607467
2013-11-25 10:00:00,1.888803137
2013-11-25 12:00:00,1.880555412
2013-11-25 14:00:00,2.006235339
2013-11-25 16:00:00,2.126835416
2013-11-25 18:00:00,2.837725204
2013-11-25 20:00:00,2.25343713
2013-11-25 22:00:00,2.370876644
2013-11-26 00:00:00,2.961264899
2013-11-26 02:00:00,0
2013-11-26 04:00:00,2.70512835
2013-11-26 06:00:00,3.193407286
2013-11-26 08:00:00,3.193881645
2013-11-26 10:00:00,0.463824789
2013-11-26 12:00:00,0
2013-11-26 14:00:00,1.200694418
2013-11-26 16:00:00,3.245915209
2013-11-26 18:00:00,2.532336166
2013-11-26 20:00:00,1.858301788
2013-11-26 22:00:00,2.029860292
2013-11-27 00:00:00,2.063320824
2013-11-27 02:00:00,2.230830307
2013-11-27 04:00:00,2.413576763
2013-11-27 06:00:00,3.050876943
2013-11-27 08:00:00,3.267984306
2013-11-27 10:00:00,0.847919472
2013-11-27 12:00:00,3.40131926
2013-11-27 14:00:00,3.651575297
2013-11-27 16:00:00,0.569311908
2013-11-27 18:00:00,1.058245784
2013-11-27 20:00:00,1.37872967
2013-11-27 22:00:00,1.533448946
2013-12-14 00:00:00,1.058228993
2013-12-14 02:00:00,1.470762764
2013-12-14 04:00:00,0
2013-12-14 06:00:00,0.678490819
2013-12-14 08:00:00,0.304496295
2013-12-14 10:00:00,0
2013-12-14 12:00:00,0.695462213
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0.283512096
2013-12-14 18:00:00,0.475942251
2013-12-14 20:00:00,0.343130591
2013-12-14 22:00:00,0
2013-12-15 00:00:00,0.341749626
2013-12-15 02:00:00,1.107292297
