,yield
2013-11-24 00:00:00,0
2013-11-24 02:00:00,0
2013-11-24 04:00:00,0
2013-11-24 06:00:00,3.120113569
2013-11-24 08:00:00,1.758863285
2013-11-24 10:00:00,1.42771047
2013-11-24 12:00:00,1.957010919
2013-11-24 14:00:00,1.736077466
2013-11-24 16:00:00,1.907297302
2013-11-24 18:00:00,2.903908901
2013-11-24 20:00:00,0
2013-11-24 22:00:00,0
2013-11-25 00:00:00,0
2013-11-25 02:00:00,0
2013-11-25 04:00:00,0
2013-11-25 06:00:00,3.373586206
2013-11-25 08:00:00,3.505668072
2013-11-25 10:00:00,2.98801839
2013-11-25 12:00:00,2.454091615
2013-11-25 14:00:00,2.148754003
2013-11-25 16:00:00,1.972174342
2013-11-25 18:00:00,2.494336448
2013-11-25 20:00:00,0
2013-11-25 22:00:00,0
2013-11-26 00:00:00,0
2013-11-26 02:00:00,0
2013-11-26 04:00:00,0
2013-11-26 06:00:00,2.207678687
2013-11-26 08:00:00,1.558345528
2013-11-26 10:00:00,1.073101629
2013-11-26 12:00:00,0.891575598
2013-11-26 14:00:00,1.036524257
2013-11-26 16:00:00,0.798067583
2013-11-26 18:00:00,1.22784089
2013-11-26 20:00:00,0
2013-11-26 22:00:00,0
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0
2013-11-27 04:00:00,0
2013-11-27 06:00:00,1.845025015
2013-11-27 08:00:00,1.335163143
2013-11-27 10:00:00,0.534242248
2013-11-27 12:00:00,0.478282867
2013-11-27 14:00:00,1.064873559
2013-11-27 16:00:00,0.634418584
2013-11-27 18:00:00,1.256190192
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0
2013-12-14 00:00:00,0
2013-12-14 02:00:00,0
2013-12-14 04:00:00,0
2013-12-14 06:00:00,1.225868776
2013-12-14 08:00:00,1.076266053
2013-12-14 10:00:00,0
2013-12-14 12:00:00,0
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0
2013-12-14 18:00:00,0
2013-12-14 20:00:00,0
2013-12-14 22:00:00,0
2013-12-15 00:00:00,0
2013-12-15 02:00:00,0
2013-12-15 04:00:00,0
2013-12-15 06:00:00,0.073372471
2013-12-15 08:00:00,0.185092039
2013-12-15 10:00:00,0
2013-12-15 12:00:00,0
2013-12-15 14:00:00,0
2013-12-15 16:00:00,0
2013-12-15 18:00:00,0
2013-12-15 20:00:00,0
2013-12-15 22:00:00,0
2013-12-16 00:00:00,0
2013-12-16 02:00:00,0
2013-12-16 04:00:00,0
