,yield
2013-11-24 00:00:00,0
2013-11-24 02:00:00,0
2013-11-24 04:00:00,0
2013-11-24 06:00:00,3.204387077
2013-11-24 08:00:00,1.774596994
2013-11-24 10:00:00,1.457123068
2013-11-24 12:00:00,0.868552664
2013-11-24 14:00:00,1.712561131
2013-11-24 16:00:00,1.868953907
2013-11-24 18:00:00,2.966071993
2013-11-24 20:00:00,0
2013-11-24 22:00:00,0
2013-11-25 00:00:00,0
2013-11-25 02:00:00,0
2013-11-25 04:00:00,0
2013-11-25 06:00:00,3.374135306
2013-11-25 08:00:00,3.516066187
2013-11-25 10:00:00,3.055031656
2013-11-25 12:00:00,2.384316419
2013-11-25 14:00:00,2.039660177
2013-11-25 16:00:00,1.817515271
2013-11-25 18:00:00,2.312470137
2013-11-25 20:00:00,0
2013-11-25 22:00:00,0
2013-11-26 00:00:00,0
2013-11-26 02:00:00,0
2013-11-26 04:00:00,0
2013-11-26 06:00:00,2.363172786
2013-11-26 08:00:00,1.645286229
2013-11-26 10:00:00,1.222596799
2013-11-26 12:00:00,0.92083173
2013-11-26 14:00:00,1.159557021
2013-11-26 16:00:00,0.869271982
2013-11-26 18:00:00,1.322523239
2013-11-26 20:00:00,0
2013-11-26 22:00:00,0
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0
2013-11-27 04:00:00,0
2013-11-27 06:00:00,1.904667352
2013-11-27 08:00:00,1.459444887
2013-11-27 10:00:00,0.57856927
2013-11-27 12:00:00,0.518920523
2013-11-27 14:00:00,1.200238541
2013-11-27 16:00:00,0.759293679
2013-11-27 18:00:00,1.363204759
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0
2013-12-14 00:00:00,0
2013-12-14 02:00:00,0
2013-12-14 04:00:00,0
2013-12-14 06:00:00,1.223392569
2013-12-14 08:00:00,1.11105938
2013-12-14 10:00:00,0
2013-12-14 12:00:00,0
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0.067261104
2013-12-14 18:00:00,0
2013-12-14 20:00:00,0
2013-12-14 22:00:00,0
2013-12-15 00:00:00,0
2013-12-15 02:00:00,0
2013-12-15 04:00:00,0
2013-12-15 06:00:00,0.089673067
2013-12-15 08:00:00,0.202726242
2013-12-15 10:00:00,0
2013-12-15 12:00:00,0
2013-12-15 14:00:00,0
2013-12-15 16:00:00,0
2013-12-15 18:00:00,0
2013-12-15 20:00:00,0
2013-12-15 22:00:00,0
2013-12-16 00:00:00,0
2013-12-16 02:00:00,0
