,yield
2013-11-24 00:00:00,0
2013-11-24 02:00:00,0
2013-11-24 04:00:00,0
2013-11-24 06:00:00,0
2013-11-24 08:00:00,0
2013-11-24 10:00:00,0
2013-11-24 12:00:00,0
2013-11-24 14:00:00,0
2013-11-24 16:00:00,0
2013-11-24 18:00:00,0
2013-11-24 20:00:00,0
2013-11-24 22:00:00,0
2013-11-25 00:00:00,0
2013-11-25 02:00:00,0
2013-11-25 04:00:00,0
2013-11-25 06:00:00,0
2013-11-25 08:00:00,0
2013-11-25 10:00:00,0
2013-11-25 12:00:00,0
2013-11-25 14:00:00,0
2013-11-25 16:00:00,0
2013-11-25 18:00:00,0
2013-11-25 20:00:00,0
2013-11-25 22:00:00,0
2013-11-26 00:00:00,0
2013-11-26 02:00:00,0
2013-11-26 04:00:00,0
2013-11-26 06:00:00,0
2013-11-26 08:00:00,0
2013-11-26 10:00:00,0
2013-11-26 12:00:00,0
2013-11-26 14:00:00,0
2013-11-26 16:00:00,0
2013-11-26 18:00:00,0
2013-11-26 20:00:00,0
2013-11-26 22:00:00,0
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0
2013-11-27 04:00:00,0
2013-11-27 06:00:00,0
2013-11-27 08:00:00,0
2013-11-27 10:00:00,0
2013-11-27 12:00:00,0
2013-11-27 14:00:00,0
2013-11-27 16:00:00,0
2013-11-27 18:00:00,0
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0
2013-12-14 00:00:00,0
2013-12-14 02:00:00,0
2013-12-14 04:00:00,0
2013-12-14 06:00:00,0.000331835
2013-12-14 08:00:00,0.000400351
2013-12-14 10:00:00,0.000519382
2013-12-14 12:00:00,0.000360635
2013-12-14 14:00:00,0.000199208
2013-12-14 16:00:00,0.00025403
2013-12-14 18:00:00,0.000706812
2013-12-14 20:00:00,0
2013-12-14 22:00:00,0
2013-12-15 00:00:00,0
2013-12-15 02:00:00,0
2013-12-15 04:00:00,0
2013-12-15 06:00:00,0.004278672
2013-12-15 08:00:00,0.000516188
2013-12-15 10:00:00,0.001368392
2013-12-15 12:00:00,0
2013-12-15 14:00:00,0
2013-12-15 16:00:00,0.001319038
2013-12-15 18:00:00,1.60837E-05
2013-12-15 20:00:00,0
2013-12-15 22:00:00,0
2013-12-16 00:00:00,0
2013-12-16 02:00:00,0
2013-12-16 04:00:00,0
2013-12-16 06:00:00,2.107751756
2013-12-16 08:00:00,0.474137946
2013-12-16 10:00:00,6.382967243
2013-12-16 12:00:00,11.32048861
