,yield
2013-11-24 00:00:00,0
2013-11-24 02:00:00,0
2013-11-24 04:00:00,0
2013-11-24 06:00:00,0
2013-11-24 08:00:00,0
2013-11-24 10:00:00,0
2013-11-24 12:00:00,0
2013-11-24 14:00:00,0
2013-11-24 16:00:00,0
2013-11-24 18:00:00,0
2013-11-24 20:00:00,0
2013-11-24 22:00:00,0
2013-11-25 00:00:00,0
2013-11-25 02:00:00,0
2013-11-25 04:00:00,0
2013-11-25 06:00:00,0
2013-11-25 08:00:00,0
2013-11-25 10:00:00,0
2013-11-25 12:00:00,0
2013-11-25 14:00:00,0
2013-11-25 16:00:00,0
2013-11-25 18:00:00,0
2013-11-25 20:00:00,0
2013-11-25 22:00:00,0
2013-11-26 00:00:00,0
2013-11-26 02:00:00,0
2013-11-26 04:00:00,0
2013-11-26 06:00:00,0
2013-11-26 08:00:00,0
2013-11-26 10:00:00,0
2013-11-26 12:00:00,0
2013-11-26 14:00:00,0
2013-11-26 16:00:00,0
2013-11-26 18:00:00,0
2013-11-26 20:00:00,0
2013-11-26 22:00:00,0
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0
2013-11-27 04:00:00,0
2013-11-27 06:00:00,0
2013-11-27 08:00:00,0
2013-11-27 10:00:00,0
2013-11-27 12:00:00,0
2013-11-27 14:00:00,0
2013-11-27 16:00:00,0
2013-11-27 18:00:00,0
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0
2013-12-14 00:00:00,0.001487412
2013-12-14 02:00:00,0.000463131
2013-12-14 04:00:00,0.000621266
2013-12-14 06:00:00,0.004878791
2013-12-14 08:00:00,0.001113752
2013-12-14 10:00:00,0.000865505
2013-12-14 12:00:00,0.011525163
2013-12-14 14:00:00,0.000443031
2013-12-14 16:00:00,0.000471483
2013-12-14 18:00:00,0.002180139
2013-12-14 20:00:00,0.002209663
2013-12-14 22:00:00,0.019490779
2013-12-15 00:00:00,0.003586328
2013-12-15 02:00:00,0.001212824
2013-12-15 04:00:00,0.001818099
2013-12-15 06:00:00,0.000575103
2013-12-15 08:00:00,0.004799002
2013-12-15 10:00:00,0.002189559
2013-12-15 12:00:00,0.027411654
2013-12-15 14:00:00,0.01935723
2013-12-15 16:00:00,0.000501192
2013-12-15 18:00:00,0.000359254
2013-12-15 20:00:00,0.000701237
2013-12-15 22:00:00,0.008340844
2013-12-16 00:00:00,0.00863554
2013-12-16 02:00:00,0.265552726
2013-12-16 04:00:00,0.987575036
2013-12-16 06:00:00,1.838291346
